-0,0,0,0,0,0,0,-0.18517,-0,-0,0,0,0,0.17281,-0,-0,0,-0.20976,0.44786,-0,0,-0,0,0,-0,-0.25915,-0,-0,-0.315,-0.26357,0,0.14077,0.022808,-0,0,0,0,0,0,0,-0,0,-0,0,-0,-0,-0,0,0,-0
-0,0,0,0,0,0,0.22943,-0,-0,-0,0.18115,0,0,-0,0,0,-0.15898,-0.24071,-0,0.18768,-0,-0,0,0,0,0.18774,0,0.21404,0,-0,-0,0,0,-0,-0.18428,-0,-0.21037,-0,0,0,0,0,-0,0.1831,0,-0.2123,-0,0.1828,0,-0
-0,0.22334,-0.25673,0.38045,0,-0,0,0,0,-0,0,0,0,0.35406,0,0,-0,-0.26099,0,-0,0,0.39638,0.27827,0,0,0,-0.28607,-0,0,-0.3209,0.40008,-0,0,-0.19545,0,0,0.37519,0,0.221,0,0.29604,0,-0,0,-0.24462,-0,-0.3584,-0,0,0.17661
-0,0,-0.21966,0,0,0,-0,-0,-0,-0,-0,0,0.20612,0.1352,-0,0,0,0,-0,-0,-0,-0,0,0,0,0,0,-0.18311,0.19647,-0.20044,-0,-0,0,0.18726,-0.22756,-0,-0,0,-0,0,0.20185,0,-0,-0,-0.19382,0,0,-0,0,-0
-0,-0,-0,-0,-0.22614,-0,-0,0.18843,-0.22293,0.23849,0,-0,-0.21504,-0,0.18517,-0,-0,0,-0,0.27182,-0.19757,-0,-0,0,-0,-0,0,-0,0,-0,-0.20803,0,-0,0,-0.19511,-0,0.23873,0,-0,-0,-0,0.27386,-0.24385,-0,0,-0,-0.23446,-0.19782,0,-0
-0,-0,0,0,0,0,0,0,0,-0,-0,0,-0,-0,0,-0,-0,-0,0,0,-0,-0,-0,0,0,-0.27553,-0,-0,-0,-0,0,-0.019943,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,-0,-0,0,0
0.20759,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,0,-0,-0,-0,-0,0,-0,0.23152,0.21112,0.1832,-0,-0.17639,-0.18423,-0,-0.21335,-0,0,0,-0,0.20656,-0,-0.21644,-0.24779,-0,-0,0,-0.23401,-0.15374,-0.19905,-0.21197,0,-0,0.22477,0,-0,0,-0,-0
0.18752,0,-0,0,0,0,0.21977,-0,0.19269,-0,-0,0,0,-0,0,0,-0,0,0,0,0.23876,-0,0,0,0,-0,-0,-0,-0,-0,0,0,0.20363,0,-0,0,0,-0,0,-0,0,-0.18975,0,0,0,0,-0,0.21993,0,0
-0,-0,0,-0,0,-0,-0,-0.25554,-0,-0,-0,-0,-0,0,-0,-0,-0,-0.22488,-0,-0,0.1425,0,-0,-0,-0,-0.24373,-0,0,0.57551,0.20667,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,-0.19486,-0,0,-0
-0,-0,0,0,0,0,0,0,0,-0.27359,-0.18882,0,0,0,0,0,0,-0,0,0,0,0.21159,0,0,0,0,-0,0,-0,-0.22146,0,0,0,0,0,0,-0,0,0,-0,0,0,-0,0,0.21896,0,0.19593,0,0.24204,0
-0,-0.27213,-0.18574,0,0,0,0,-0,0,-0,0,0,0,0,0,0.079711,0.4769,-0,0,0,0.34588,-0,0,0.053551,0,0,-0.258,-0,0,-0.23235,0,0,-0.1453,-0.20521,0,0,0,0,0,-0,0.26993,0,-0,0,-0.21433,-0,-0,0,0,0
-0,-0,-0.19666,0.28161,-0.20075,0,0,0,0,-0,0,0,-0,0,0,0,0,-0.24327,0,0,0,-0.20901,0,-0,0.18938,-0.20718,-0,0,0,-0,0,0,-0.21676,-0,-0,0,0,-0,0.19706,-0,0,0,0,0,0.18172,0.2088,0,-0,0,0
-0,-0,0,0,0,0,-0,0,0,-0,0,0,0,0,-0,-0,0,-0,0,-0,0.16649,-0.17025,-0,0,-0,0,-0,-0,-0.16857,-0.22963,0.17153,-0.14661,-0,-0,0,0,-0,0,0.19743,-0,-0,0,-0,0,-0,-0,-0.2564,0,0,0
-0.22154,-0.26515,0,0,0,0,0.25473,0,0.2401,-0,0,0,-0.27551,0,0,0,0.21576,-0,0,-0.16706,0,0,-0,0,0,-0.26991,-0.2307,-0,-0,-0,0,-0,0,-0,0,0,0,0,0,-0,0,0,-0,0,-0,-0.25932,-0,0,0,0
-0,0,0.20669,0,-0.24142,-0,0.18578,-0.19865,-0,-0.19106,0,-0,-0.2407,-0,-0,-0,0,0,-0,-0,-0,-0,0,0,-0,-0,-0.23709,-0,0,0,-0,-0,-0,0.18293,-0,-0,0.19078,0.22477,-0,0,-0,-0,0,-0,0,-0,-0,-0.18393,-0,-0.2475
-0.35308,-0,0,0,-0.32655,0,-0.18846,-0.22179,0,-0,0,0.19192,0,0,0,0.33624,-0,-0,-0.23244,-0,0,-0,0.10829,0,-0,0,-0,-0,0,-0,0,-0,-0,0.20201,-0.31576,0,0,0,0,0.43242,0,0,-0,0,-0,-0.23123,-0,-0.19662,-0.34438,0
